ID,Group,Statistic,ROI,Test,iDXA BMD (g/cm2)
198,Exer,SEM,Trunk,Post,0.03
199,FLY,Mean,Trunk,Pre,1.13
200,FLY,Mean,Trunk,Test 1,1.14
201,FLY,Mean,Trunk,Test 2,1.14
202,FLY,Mean,Trunk,Test 3,1.14
203,FLY,Mean,Trunk,Test 4,1.14
204,FLY,Mean,Trunk,Post,1.14
205,FLY,SD,Trunk,Pre,0.19
206,FLY,SD,Trunk,Test 1,0.20
207,FLY,SD,Trunk,Test 2,0.19
208,FLY,SD,Trunk,Test 3,0.19
209,FLY,SD,Trunk,Test 4,0.20
210,FLY,SD,Trunk,Post,0.19
211,FLY,SEM,Trunk,Pre,0.07
212,FLY,SEM,Trunk,Test 1,0.07
213,FLY,SEM,Trunk,Test 2,0.07
214,FLY,SEM,Trunk,Test 3,0.07
215,FLY,SEM,Trunk,Test 4,0.07
216,FLY,SEM,Trunk,Post,0.07
217,Ctrl,Mean,Ribs,Pre,0.94
218,Ctrl,Mean,Ribs,Test 1,0.95
219,Ctrl,Mean,Ribs,Test 2,0.95
220,Ctrl,Mean,Ribs,Test 3,0.95
221,Ctrl,Mean,Ribs,Test 4,0.96
222,Ctrl,Mean,Ribs,Post,0.96
223,Ctrl,SD,Ribs,Pre,0.09
224,Ctrl,SD,Ribs,Test 1,0.39
225,Ctrl,SD,Ribs,Test 2,0.39
226,Ctrl,SD,Ribs,Test 3,0.39
227,Ctrl,SD,Ribs,Test 4,0.40
228,Ctrl,SD,Ribs,Post,0.08
229,Ctrl,SEM,Ribs,Pre,0.03
230,Ctrl,SEM,Ribs,Test 1,0.12
231,Ctrl,SEM,Ribs,Test 2,0.12
232,Ctrl,SEM,Ribs,Test 3,0.12
233,Ctrl,SEM,Ribs,Test 4,0.12
234,Ctrl,SEM,Ribs,Post,0.03
235,Exer,Mean,Ribs,Pre,0.96
236,Exer,Mean,Ribs,Test 1,0.96
237,Exer,Mean,Ribs,Test 2,0.97
238,Exer,Mean,Ribs,Test 3,0.98
239,Exer,Mean,Ribs,Test 4,0.98
240,Exer,Mean,Ribs,Post,0.96
241,Exer,SD,Ribs,Pre,0.12
242,Exer,SD,Ribs,Test 1,0.12
243,Exer,SD,Ribs,Test 2,0.13
244,Exer,SD,Ribs,Test 3,0.25
245,Exer,SD,Ribs,Test 4,0.25
246,Exer,SD,Ribs,Post,0.12
247,Exer,SEM,Ribs,Pre,0.03
248,Exer,SEM,Ribs,Test 1,0.03
249,Exer,SEM,Ribs,Test 2,0.03
250,Exer,SEM,Ribs,Test 3,0.06
251,Exer,SEM,Ribs,Test 4,0.06
252,Exer,SEM,Ribs,Post,0.03
253,FLY,Mean,Ribs,Pre,0.99
254,FLY,Mean,Ribs,Test 1,0.99
255,FLY,Mean,Ribs,Test 2,1.00
256,FLY,Mean,Ribs,Test 3,1.00
257,FLY,Mean,Ribs,Test 4,0.99
258,FLY,Mean,Ribs,Post,0.99
259,FLY,SD,Ribs,Pre,0.14
260,FLY,SD,Ribs,Test 1,0.15
261,FLY,SD,Ribs,Test 2,0.14
262,FLY,SD,Ribs,Test 3,0.14
263,FLY,SD,Ribs,Test 4,0.16
264,FLY,SD,Ribs,Post,0.15
265,FLY,SEM,Ribs,Pre,0.05
266,FLY,SEM,Ribs,Test 1,0.05
267,FLY,SEM,Ribs,Test 2,0.05
268,FLY,SEM,Ribs,Test 3,0.05
269,FLY,SEM,Ribs,Test 4,0.06
270,FLY,SEM,Ribs,Post,0.05
271,Ctrl,Mean,Pelvis,Pre,1.07
272,Ctrl,Mean,Pelvis,Test 1,1.05
273,Ctrl,Mean,Pelvis,Test 2,1.05
274,Ctrl,Mean,Pelvis,Test 3,1.04
275,Ctrl,Mean,Pelvis,Test 4,1.02
276,Ctrl,Mean,Pelvis,Post,1.05
277,Ctrl,SD,Pelvis,Pre,0.12
278,Ctrl,SD,Pelvis,Test 1,0.44
279,Ctrl,SD,Pelvis,Test 2,0.44
280,Ctrl,SD,Pelvis,Test 3,0.44
281,Ctrl,SD,Pelvis,Test 4,0.43
282,Ctrl,SD,Pelvis,Post,0.12
283,Ctrl,SEM,Pelvis,Pre,0.04
284,Ctrl,SEM,Pelvis,Test 1,0.13
285,Ctrl,SEM,Pelvis,Test 2,0.13
286,Ctrl,SEM,Pelvis,Test 3,0.13
287,Ctrl,SEM,Pelvis,Test 4,0.13
288,Ctrl,SEM,Pelvis,Post,0.04
289,Exer,Mean,Pelvis,Pre,1.09
290,Exer,Mean,Pelvis,Test 1,1.09
291,Exer,Mean,Pelvis,Test 2,1.08
292,Exer,Mean,Pelvis,Test 3,1.11
293,Exer,Mean,Pelvis,Test 4,1.10
294,Exer,Mean,Pelvis,Post,1.08
295,Exer,SD,Pelvis,Pre,0.13
296,Exer,SD,Pelvis,Test 1,0.14
297,Exer,SD,Pelvis,Test 2,0.14
298,Exer,SD,Pelvis,Test 3,0.28
299,Exer,SD,Pelvis,Test 4,0.28
300,Exer,SD,Pelvis,Post,0.14
301,Exer,SEM,Pelvis,Pre,0.03
302,Exer,SEM,Pelvis,Test 1,0.03
303,Exer,SEM,Pelvis,Test 2,0.03
304,Exer,SEM,Pelvis,Test 3,0.06
305,Exer,SEM,Pelvis,Test 4,0.06
306,Exer,SEM,Pelvis,Post,0.03
307,FLY,Mean,Pelvis,Pre,1.23
308,FLY,Mean,Pelvis,Test 1,1.24
309,FLY,Mean,Pelvis,Test 2,1.23
310,FLY,Mean,Pelvis,Test 3,1.23
311,FLY,Mean,Pelvis,Test 4,1.23
312,FLY,Mean,Pelvis,Post,1.23
313,FLY,SD,Pelvis,Pre,0.26
314,FLY,SD,Pelvis,Test 1,0.27
315,FLY,SD,Pelvis,Test 2,0.26
316,FLY,SD,Pelvis,Test 3,0.27
317,FLY,SD,Pelvis,Test 4,0.26
318,FLY,SD,Pelvis,Post,0.26
319,FLY,SEM,Pelvis,Pre,0.09
320,FLY,SEM,Pelvis,Test 1,0.09
321,FLY,SEM,Pelvis,Test 2,0.09
322,FLY,SEM,Pelvis,Test 3,0.10
323,FLY,SEM,Pelvis,Test 4,0.09
324,FLY,SEM,Pelvis,Post,0.09
325,Ctrl,Mean,Spine,Pre,1.10
326,Ctrl,Mean,Spine,Test 1,1.09
327,Ctrl,Mean,Spine,Test 2,1.09
328,Ctrl,Mean,Spine,Test 3,1.09
329,Ctrl,Mean,Spine,Test 4,1.10
330,Ctrl,Mean,Spine,Post,1.09
331,Ctrl,SD,Spine,Pre,0.06
332,Ctrl,SD,Spine,Test 1,0.45
333,Ctrl,SD,Spine,Test 2,0.44
334,Ctrl,SD,Spine,Test 3,0.44
335,Ctrl,SD,Spine,Test 4,0.45
336,Ctrl,SD,Spine,Post,0.05
337,Ctrl,SEM,Spine,Pre,0.02
338,Ctrl,SEM,Spine,Test 1,0.13
339,Ctrl,SEM,Spine,Test 2,0.13
