ID,Group,Statistic,ROI,Test,iDXA BMD (g/cm2)
132,Exer,Mean,L3,Post,1.30
133,Exer,SD,L3,Pre,0.14
134,Exer,SD,L3,Test 1,0.16
135,Exer,SD,L3,Test 2,0.15
136,Exer,SD,L3,Test 3,0.34
137,Exer,SD,L3,Test 4,0.34
138,Exer,SD,L3,Post,0.15
139,Exer,SEM,L3,Pre,0.03
140,Exer,SEM,L3,Test 1,0.04
141,Exer,SEM,L3,Test 2,0.03
142,Exer,SEM,L3,Test 3,0.08
143,Exer,SEM,L3,Test 4,0.08
144,Exer,SEM,L3,Post,0.04
145,FLY,Mean,L3,Pre,1.36
146,FLY,Mean,L3,Test 1,1.35
147,FLY,Mean,L3,Test 2,1.35
148,FLY,Mean,L3,Test 3,1.36
149,FLY,Mean,L3,Test 4,1.38
150,FLY,Mean,L3,Post,1.37
151,FLY,SD,L3,Pre,0.21
152,FLY,SD,L3,Test 1,0.22
153,FLY,SD,L3,Test 2,0.22
154,FLY,SD,L3,Test 3,0.22
155,FLY,SD,L3,Test 4,0.20
156,FLY,SD,L3,Post,0.21
157,FLY,SEM,L3,Pre,0.07
158,FLY,SEM,L3,Test 1,0.08
159,FLY,SEM,L3,Test 2,0.08
160,FLY,SEM,L3,Test 3,0.08
161,FLY,SEM,L3,Test 4,0.07
162,FLY,SEM,L3,Post,0.07
163,Ctrl,Mean,L4,Pre,1.22
164,Ctrl,Mean,L4,Test 1,1.21
165,Ctrl,Mean,L4,Test 2,1.19
166,Ctrl,Mean,L4,Test 3,1.19
167,Ctrl,Mean,L4,Test 4,1.19
168,Ctrl,Mean,L4,Post,1.20
169,Ctrl,SD,L4,Pre,0.13
170,Ctrl,SD,L4,Test 1,0.50
171,Ctrl,SD,L4,Test 2,0.50
172,Ctrl,SD,L4,Test 3,0.49
173,Ctrl,SD,L4,Test 4,0.49
174,Ctrl,SD,L4,Post,0.11
175,Ctrl,SEM,L4,Pre,0.04
176,Ctrl,SEM,L4,Test 1,0.15
177,Ctrl,SEM,L4,Test 2,0.15
178,Ctrl,SEM,L4,Test 3,0.15
179,Ctrl,SEM,L4,Test 4,0.15
180,Ctrl,SEM,L4,Post,0.03
181,Exer,Mean,L4,Pre,1.26
182,Exer,Mean,L4,Test 1,1.24
183,Exer,Mean,L4,Test 2,1.24
184,Exer,Mean,L4,Test 3,1.19
185,Exer,Mean,L4,Test 4,1.20
186,Exer,Mean,L4,Post,1.25
187,Exer,SD,L4,Pre,0.15
188,Exer,SD,L4,Test 1,0.16
189,Exer,SD,L4,Test 2,0.15
190,Exer,SD,L4,Test 3,0.32
191,Exer,SD,L4,Test 4,0.33
192,Exer,SD,L4,Post,0.15
193,Exer,SEM,L4,Pre,0.03
194,Exer,SEM,L4,Test 1,0.04
195,Exer,SEM,L4,Test 2,0.03
196,Exer,SEM,L4,Test 3,0.07
197,Exer,SEM,L4,Test 4,0.08
198,Exer,SEM,L4,Post,0.03
199,FLY,Mean,L4,Pre,1.36
200,FLY,Mean,L4,Test 1,1.34
201,FLY,Mean,L4,Test 2,1.34
202,FLY,Mean,L4,Test 3,1.35
203,FLY,Mean,L4,Test 4,1.35
204,FLY,Mean,L4,Post,1.35
205,FLY,SD,L4,Pre,0.24
206,FLY,SD,L4,Test 1,0.21
207,FLY,SD,L4,Test 2,0.21
208,FLY,SD,L4,Test 3,0.21
209,FLY,SD,L4,Test 4,0.21
210,FLY,SD,L4,Post,0.20
211,FLY,SEM,L4,Pre,0.09
212,FLY,SEM,L4,Test 1,0.08
213,FLY,SEM,L4,Test 2,0.08
214,FLY,SEM,L4,Test 3,0.07
215,FLY,SEM,L4,Test 4,0.08
216,FLY,SEM,L4,Post,0.07
217,Ctrl,Mean,L1-4,Pre,1.18
218,Ctrl,Mean,L1-4,Test 1,1.18
219,Ctrl,Mean,L1-4,Test 2,1.18
220,Ctrl,Mean,L1-4,Test 3,1.18
221,Ctrl,Mean,L1-4,Test 4,1.17
222,Ctrl,Mean,L1-4,Post,1.17
223,Ctrl,SD,L1-4,Pre,0.11
224,Ctrl,SD,L1-4,Test 1,0.49
225,Ctrl,SD,L1-4,Test 2,0.48
226,Ctrl,SD,L1-4,Test 3,0.49
227,Ctrl,SD,L1-4,Test 4,0.48
228,Ctrl,SD,L1-4,Post,0.09
229,Ctrl,SEM,L1-4,Pre,0.03
230,Ctrl,SEM,L1-4,Test 1,0.15
231,Ctrl,SEM,L1-4,Test 2,0.15
232,Ctrl,SEM,L1-4,Test 3,0.15
233,Ctrl,SEM,L1-4,Test 4,0.15
234,Ctrl,SEM,L1-4,Post,0.03
235,Exer,Mean,L1-4,Pre,1.24
236,Exer,Mean,L1-4,Test 1,1.23
237,Exer,Mean,L1-4,Test 2,1.23
238,Exer,Mean,L1-4,Test 3,1.18
239,Exer,Mean,L1-4,Test 4,1.18
240,Exer,Mean,L1-4,Post,1.24
241,Exer,SD,L1-4,Pre,0.14
242,Exer,SD,L1-4,Test 1,0.15
243,Exer,SD,L1-4,Test 2,0.15
244,Exer,SD,L1-4,Test 3,0.32
245,Exer,SD,L1-4,Test 4,0.32
246,Exer,SD,L1-4,Post,0.15
247,Exer,SEM,L1-4,Pre,0.03
248,Exer,SEM,L1-4,Test 1,0.03
249,Exer,SEM,L1-4,Test 2,0.03
250,Exer,SEM,L1-4,Test 3,0.07
251,Exer,SEM,L1-4,Test 4,0.07
252,Exer,SEM,L1-4,Post,0.03
253,FLY,Mean,L1-4,Pre,1.31
254,FLY,Mean,L1-4,Test 1,1.30
255,FLY,Mean,L1-4,Test 2,1.30
256,FLY,Mean,L1-4,Test 3,1.31
257,FLY,Mean,L1-4,Test 4,1.32
258,FLY,Mean,L1-4,Post,1.32
259,FLY,SD,L1-4,Pre,0.20
260,FLY,SD,L1-4,Test 1,0.19
261,FLY,SD,L1-4,Test 2,0.19
262,FLY,SD,L1-4,Test 3,0.19
263,FLY,SD,L1-4,Test 4,0.20
264,FLY,SD,L1-4,Post,0.19
265,FLY,SEM,L1-4,Pre,0.07
266,FLY,SEM,L1-4,Test 1,0.07
267,FLY,SEM,L1-4,Test 2,0.07
268,FLY,SEM,L1-4,Test 3,0.07
269,FLY,SEM,L1-4,Test 4,0.07
270,FLY,SEM,L1-4,Post,0.07
